n,p_or_ramp,density,reciprocity,seeds,rounds_per_seed,q,ewma_lookback,coverage_rate,p99_debit,p99_tail_coverage,cap_binding_fraction
50,0.95,0.5,0.8,200,64,1.5,32,0.0000,0,0.0000,0.0000
50,0.95,0.5,0.8,200,64,2,8,0.4904,38554715,0.0000,0.2371
50,0.95,0.5,0.8,200,64,2,16,0.4809,28506152,0.0000,0.1733
50,0.95,0.5,0.8,200,64,2,32,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,1,8,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,1,16,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,1,32,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,1.25,8,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,1.25,16,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,1.25,32,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,1.5,8,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,1.5,16,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,1.5,32,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,2,8,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,2,16,0.0000,0,0.0000,0.0000
50,0.9,0.5,0.8,200,64,2,32,0.0000,0,0.0000,0.0000
15,ramp-1.0-0.8,0.5,0.8,200,64,1,8,0.2713,13391296,0.0000,0.2354
15,ramp-1.0-0.8,0.5,0.8,200,64,1,16,0.2472,14955936,0.0000,0.1755
15,ramp-1.0-0.8,0.5,0.8,200,64,1,32,0.1879,18015216,0.0000,0.1338
15,ramp-1.0-0.8,0.5,0.8,200,64,1.25,8,0.3314,13391296,0.0000,0.2354
15,ramp-1.0-0.8,0.5,0.8,200,64,1.25,16,0.3009,14955936,0.0000,0.1755
15,ramp-1.0-0.8,0.5,0.8,200,64,1.25,32,0.2244,18015216,0.0000,0.1338
15,ramp-1.0-0.8,0.5,0.8,200,64,1.5,8,0.3854,13391296,0.0000,0.2354
15,ramp-1.0-0.8,0.5,0.8,200,64,1.5,16,0.3555,14955936,0.0000,0.1755
15,ramp-1.0-0.8,0.5,0.8,200,64,1.5,32,0.2704,18015216,0.0000,0.1338
15,ramp-1.0-0.8,0.5,0.8,200,64,2,8,0.4792,13391296,0.0000,0.2354
15,ramp-1.0-0.8,0.5,0.8,200,64,2,16,0.4523,14955936,0.0000,0.1755
15,ramp-1.0-0.8,0.5,0.8,200,64,2,32,0.3455,18015216,0.0000,0.1338
30,ramp-1.0-0.8,0.5,0.8,200,64,1,8,0.2427,25220511,0.0000,0.2605
30,ramp-1.0-0.8,0.5,0.8,200,64,1,16,0.1983,32089425,0.0000,0.2217
30,ramp-1.0-0.8,0.5,0.8,200,64,1,32,0.0000,0,0.0000,0.0000
30,ramp-1.0-0.8,0.5,0.8,200,64,1.25,8,0.2941,25220511,0.0000,0.2605
30,ramp-1.0-0.8,0.5,0.8,200,64,1.25,16,0.2344,32089425,0.0000,0.2217
30,ramp-1.0-0.8,0.5,0.8,200,64,1.25,32,0.0000,0,0.0000,0.0000
30,ramp-1.0-0.8,0.5,0.8,200,64,1.5,8,0.3420,25220511,0.0000,0.2605
30,ramp-1.0-0.8,0.5,0.8,200,64,1.5,16,0.2773,32089425,0.0000,0.2217
30,ramp-1.0-0.8,0.5,0.8,200,64,1.5,32,0.0000,0,0.0000,0.0000
30,ramp-1.0-0.8,0.5,0.8,200,64,2,8,0.4304,25220511,0.0000,0.2605
30,ramp-1.0-0.8,0.5,0.8,200,64,2,16,0.3592,32089425,0.0000,0.2217
30,ramp-1.0-0.8,0.5,0.8,200,64,2,32,0.0000,0,0.0000,0.0000
50,ramp-1.0-0.8,0.5,0.8,200,64,1,8,0.2164,34856029,0.0000,0.2764
50,ramp-1.0-0.8,0.5,0.8,200,64,1,16,0.0000,0,0.0000,0.0000
50,ramp-1.0-0.8,0.5,0.8,200,64,1,32,0.0000,0,0.0000,0.0000
50,ramp-1.0-0.8,0.5,0.8,200,64,1.25,8,0.2629,34856029,0.0000,0.2764
50,ramp-1.0-0.8,0.5,0.8,200,64,1.25,16,0.0000,0,0.0000,0.0000
50,ramp-1.0-0.8,0.5,0.8,200,64,1.25,32,0.0000,0,0.0000,0.0000
50,ramp-1.0-0.8,0.5,0.8,200,64,1.5,8,0.3083,34856029,0.0000,0.2764
50,ramp-1.0-0.8,0.5,0.8,200,64,1.5,16,0.0000,0,0.0000,0.0000
50,ramp-1.0-0.8,0.5,0.8,200,64,1.5,32,0.0000,0,0.0000,0.0000
50,ramp-1.0-0.8,0.5,0.8,200,64,2,8,0.3945,34856029,0.0000,0.2764
50,ramp-1.0-0.8,0.5,0.8,200,64,2,16,0.0000,0,0.0000,0.0000
50,ramp-1.0-0.8,0.5,0.8,200,64,2,32,0.0000,0,0.0000,0.0000
