n,p,density,reciprocity,seeds,rounds_per_seed,median_realized_compression,p10_realized_compression,median_worst_saving,p10_worst_saving,mean_excluded_latency_rounds,p95_excluded_latency_rounds,abort_rate,exclusion_round_fraction,unsettled_fraction
5,0.95,0.8,0.8,200,10,0.7878,0.7488,0.1287,0.0000,1.1116,2.0000,0.0405,0.1813,0.0109
5,0.95,0.9,0.8,200,10,0.8003,0.7685,0.2017,0.0000,1.1241,2.0000,0.0375,0.2000,0.0114
5,0.95,1,0.8,200,10,0.8114,0.7733,0.2528,0.1285,1.1130,2.0000,0.0425,0.1859,0.0132
5,0.9,0.5,0,200,10,0.4268,0.3152,0.0000,0.0000,1.3084,3.0000,0.1381,0.3053,0.0355
5,0.9,0.5,0.1,200,10,0.4965,0.3636,0.0000,0.0000,1.2879,2.0000,0.1260,0.3078,0.0348
5,0.9,0.5,0.2,200,10,0.5529,0.4628,0.0000,0.0000,1.3365,3.0000,0.1470,0.3159,0.0412
5,0.9,0.5,0.3,200,10,0.6087,0.5008,0.0000,0.0000,1.3233,3.0000,0.1383,0.3198,0.0379
5,0.9,0.5,0.4,200,10,0.6437,0.5625,0.0000,0.0000,1.2585,2.0000,0.1296,0.3052,0.0357
5,0.9,0.5,0.5,200,10,0.6749,0.6003,0.0000,0.0000,1.2760,2.0000,0.1096,0.3277,0.0324
5,0.9,0.5,0.6,200,10,0.7034,0.6356,0.0000,0.0000,1.3003,3.0000,0.1221,0.3037,0.0339
5,0.9,0.5,0.7,200,10,0.7319,0.6693,0.0000,0.0000,1.3245,3.0000,0.1366,0.3084,0.0330
5,0.9,0.5,0.8,200,10,0.7557,0.7068,0.0000,0.0000,1.3651,3.0000,0.1277,0.3094,0.0319
5,0.9,0.5,0.9,200,10,0.7835,0.7319,0.0572,0.0000,1.2970,3.0000,0.1391,0.2981,0.0404
5,0.9,0.5,1,200,10,0.8007,0.7566,0.1666,0.0414,1.3351,3.0000,0.1310,0.3038,0.0310
5,0.9,0.1,0.8,200,10,0.6421,0.4715,0.0000,0.0000,1.2974,3.0000,0.1710,0.1018,0.0229
5,0.9,0.2,0.8,200,10,0.6793,0.5848,0.0000,0.0000,1.2241,2.0000,0.1308,0.1950,0.0284
5,0.9,0.3,0.8,200,10,0.7118,0.6504,0.0000,0.0000,1.2231,2.0000,0.1342,0.2543,0.0250
5,0.9,0.4,0.8,200,10,0.7463,0.6726,0.0000,0.0000,1.2714,2.0000,0.1099,0.2982,0.0297
5,0.9,0.6,0.8,200,10,0.7761,0.7322,0.0234,0.0000,1.2854,2.0000,0.1220,0.3229,0.0329
5,0.9,0.7,0.8,200,10,0.7891,0.7498,0.1102,0.0000,1.2862,2.0000,0.1405,0.3211,0.0389
5,0.9,0.8,0.8,200,10,0.8062,0.7658,0.1741,0.0000,1.2906,2.0000,0.1370,0.3076,0.0391
5,0.9,0.9,0.8,200,10,0.8177,0.7735,0.2423,0.0161,1.3337,3.0000,0.1425,0.3388,0.0410
5,0.9,1,0.8,200,10,0.8245,0.7871,0.2943,0.1118,1.3456,3.0000,0.1320,0.3376,0.0371
5,0.8,0.5,0,200,10,0.4957,0.3858,0.0000,0.0000,1.7836,4.0000,0.3600,0.4508,0.1074
5,0.8,0.5,0.1,200,10,0.5749,0.4545,0.0000,0.0000,1.8254,4.0000,0.3535,0.4571,0.1042
5,0.8,0.5,0.2,200,10,0.6256,0.5084,0.0000,0.0000,1.8321,4.0000,0.3567,0.4681,0.1181
5,0.8,0.5,0.3,200,10,0.6617,0.5342,0.0000,0.0000,1.7814,4.0000,0.3510,0.4954,0.1266
5,0.8,0.5,0.4,200,10,0.6916,0.5984,0.0000,0.0000,1.8491,4.0000,0.3627,0.4584,0.0962
5,0.8,0.5,0.5,200,10,0.7220,0.6357,0.0000,0.0000,1.8692,4.0000,0.3855,0.4654,0.1168
5,0.8,0.5,0.6,200,10,0.7535,0.6674,0.0000,0.0000,1.9472,5.0000,0.3702,0.4615,0.1090
5,0.8,0.5,0.7,200,10,0.7769,0.7137,0.0000,0.0000,1.8608,4.0000,0.3877,0.4567,0.1265
5,0.8,0.5,0.8,200,10,0.8006,0.7207,0.1006,0.0000,1.9723,5.0000,0.3774,0.4711,0.1174
5,0.8,0.5,0.9,200,10,0.8143,0.7509,0.1584,0.0000,1.8556,4.0000,0.3467,0.4640,0.0961
5,0.8,0.5,1,200,10,0.8303,0.7774,0.2568,0.0773,1.8968,4.0000,0.3640,0.4489,0.0891
5,0.8,0.1,0.8,200,10,0.6583,0.5095,0.0000,0.0000,1.7219,4.0000,0.3276,0.2063,0.0652
5,0.8,0.2,0.8,200,10,0.7116,0.6185,0.0000,0.0000,1.8039,4.0000,0.3476,0.3193,0.0886
5,0.8,0.3,0.8,200,10,0.7431,0.6643,0.0000,0.0000,1.7611,4.0000,0.3388,0.4100,0.1073
5,0.8,0.4,0.8,200,10,0.7786,0.7064,0.0000,0.0000,1.8584,4.0000,0.3489,0.4426,0.0930
